origin,destination,fare
Gombak,Gombak,0.8
Gombak,Taman Melati,1.3
Gombak,Wangsa Maju,1.8
Gombak,Sri Rampai,1.9
Gombak,Setiawangsa,2.5
Gombak,Jelatek,2.7
Gombak,Dato' Keramat,2.6
Gombak,Damai,2.7
Gombak,Ampang Park,2.9
Gombak,KLCC,3.1
Gombak,Kampung Baru,3.3
Gombak,Dang Wangi,3.1
Gombak,Masjid Jamek (KJL),3.2
Gombak,Pasar Seni (KJL),3.4
Gombak,KL Sentral (KJL),3.6
Gombak,Bangsar,3.8
Gombak,Abdullah Hukum,3.8
Gombak,Kerinchi,3.5
Gombak,Universiti,3.6
Gombak,Taman Jaya,3.1
Gombak,Asia Jaya,3.2
Gombak,Taman Paramount,3.4
Gombak,Taman Bahagia,3.5
Gombak,Kelana Jaya,3.6
Gombak,Lembah Subang,3.7
Gombak,Ara Damansara,3.9
Gombak,Glenmarie,4.1
Gombak,Subang Jaya,4.2
Gombak,SS 15,4.3
Gombak,SS 18,4.4
Gombak,USJ 7 (KJL),4.6
Gombak,Taipan,4.7
Gombak,Wawasan,4.8
Gombak,USJ 21,4.9
Gombak,Alam Megah,5.1
Gombak,Subang Alam,5.2
Gombak,Putra Heights (KJL),5.3
Gombak,Sungai Buloh,5.7
Gombak,Kampung Selamat,6.3
Gombak,Kwasa Damansara,6.0
Gombak,Kwasa Sentral,5.8
Gombak,Kota Damansara,6.0
Gombak,Surian,5.7
Gombak,Mutiara Damansara,5.9
Gombak,Bandar Utama,5.6
Gombak,TTDI,5.2
Gombak,Phileo Damansara,5.3
Gombak,Pusat Bandar Damansara,4.6
Gombak,Semantan,4.4
Gombak,Muzium Negara,3.7
Gombak,Pasar Seni (SBK),3.4
Gombak,Merdeka,3.5
Gombak,Bukit Bintang,3.8
Gombak,Tun Razak Exchange (TRX),4.1
Gombak,Cochrane,4.4
Gombak,Maluri (SBK),4.4
Gombak,Taman Pertama,4.9
Gombak,Taman Midah,5.1
Gombak,Taman Mutiara,5.4
Gombak,Taman Connaught,5.8
Gombak,Taman Suntex,6.3
Gombak,Sri Raya,6.2
Gombak,Bandar Tun Hussein Onn,6.5
Gombak,Batu 11 Cheras,6.7
Gombak,Bukit Dukung,6.6
Gombak,Sungai Jernih,7.1
Gombak,Stadium Kajang,7.2
Gombak,Kajang,6.8
Taman Melati,Gombak,1.3
Taman Melati,Taman Melati,0.8
Taman Melati,Wangsa Maju,1.4
Taman Melati,Sri Rampai,1.6
Taman Melati,Setiawangsa,2.1
Taman Melati,Jelatek,2.4
Taman Melati,Dato' Keramat,2.5
Taman Melati,Damai,2.7
Taman Melati,Ampang Park,2.6
Taman Melati,KLCC,2.8
Taman Melati,Kampung Baru,3.0
Taman Melati,Dang Wangi,3.2
Taman Melati,Masjid Jamek (KJL),3.4
Taman Melati,Pasar Seni (KJL),3.2
Taman Melati,KL Sentral (KJL),3.4
Taman Melati,Bangsar,3.5
Taman Melati,Abdullah Hukum,3.5
Taman Melati,Kerinchi,3.3
Taman Melati,Universiti,3.4
Taman Melati,Taman Jaya,3.7
Taman Melati,Asia Jaya,3.8
Taman Melati,Taman Paramount,3.2
Taman Melati,Taman Bahagia,3.3
Taman Melati,Kelana Jaya,3.4
