station_name,location,type,latitude,longitude
Gombak LRT station,"Jalan Terminal Putra, Taman Melati  53100, Kuala Lumpur  Malaysia",LRT,3.226437,101.724989
Taman Melati LRT station,"Persiaran Pertahanan, Taman Melati  53100, Kuala Lumpur  Malaysia",LRT,3.223688,101.726384
Wangsa Maju LRT station,"Jalan 1/27A and Jalan 16/27B  Section 2, Wangsa Maju  53300, Kuala Lumpur, Malaysia",LRT,3.208613,101.733085
Sri Rampai LRT station,"Jalan Wangsa Perdana 1  Taman Sri Rampai, Wangsa Maju  53300, Kuala Lumpur  Malaysia",LRT,3.201344,101.744175
Setiawangsa LRT station,"Jalan Jelatek  AU1, Taman Setiawangsa  54200, Kuala Lumpur  Malaysia",LRT,3.177713,101.75013
Jelatek LRT station,"Jalan Jelatek  AU1, Taman Keramat  54200, Kuala Lumpur  Malaysia",LRT,3.184833,101.74807
Dato' Keramat LRT station,"Jalan Datuk Keramat  Kampung Datuk Keramat  54000, Kuala Lumpur, Malaysia",LRT,3.166291,101.724998
Damai LRT station (Malaysia),"Jalan Datuk Keramat  Kampung Datuk Keramat  54000, Kuala Lumpur, Malaysia",LRT,3.166291,101.724998
Ampang Park LRT station,"Jalan Ampang, Kuala LumpurMalaysia",LRT,3.15976,101.707857
KLCC LRT station,"Jalan Ampang, Kuala Lumpur",LRT,3.15976,101.707857
Kampung Baru LRT station,"Jalan Haji Hassan Salleh, Kampung Baru, Kuala Lumpur, Malaysia.",LRT,3.166093,101.711031
Dang Wangi LRT station,"Jalan Ampang, City Centre, Kuala Lumpur, Malaysia.",LRT,3.1516964,101.6942371
Masjid Jamek LRT station,Jalan Tun Perak50050 WP Kuala Lumpur,LRT,3.1516964,101.6942371
Pasar Seni LRT station,"Nearby Central Market, Kuala Lumpur, Malaysia",LRT,3.145855,101.69568
Kuala Lumpur Sentral railway station,"Brickfields, Kuala LumpurMalaysia",LRT,-33.888615,151.19979
Bank Rakyat-Bangsar LRT Station,"Jalan Bangsar, Bangsar, Kuala LumpurMalaysia",LRT,-7.500732,112.482126
Abdullah Hukum station,"Jalan Bangsar, Kampung Haji Abdullah Hukum, Kuala Lumpur, Malaysia.",LRT,3.118973,101.672512
Kerinchi LRT station,Plaza Pantai,LRT,3.115596,101.668543
Universiti LRT station,"Beside Kuala Lumpur bound, Federal Highway.",LRT,3.07154,101.702468
Taman Jaya LRT station,"Persiaran Barat, Section 52, Petaling Jaya, Selangor, Malaysia.",LRT,3.099175,101.645023
Asia Jaya LRT station,"Off Jalan Utara and Jalan 51A/223, Section 51A, Petaling Jaya, Selangor, Malaysia.",LRT,3.098357,101.590096
Taman Paramount LRT station,At the edge of Jalan 21/1,LRT,42.858132,140.705498
Taman Bahagia LRT station,Jalan SS 3/59E and Jalan SS 2/3,LRT,-2.322023,104.459193
Kelana Jaya LRT station,Southbound carriageway on the E11 Damansara–Puchong Expressway between exit 1108 and 1109,LRT,44.30585,-78.319477
Lembah Subang LRT station,"Jalan PJU 1A/46  PJU 1A, Ara Damansara  47301, Petaling Jaya, Selangor  Malaysia",LRT,3.123983,101.582308
Ara Damansara LRT station,"Jalan Lapangan Terbang Subang  PJU 1A, Ara Damansara  47301, Petaling Jaya, Selangor  Malaysia",LRT,3.123983,101.582308
Glenmarie LRT station,"Jalan Lapangan Terbang Subang  Glenmarie, Section U1  40150, Shah Alam, Selangor  Malaysia",LRT,3.082665,101.561558
Subang Jaya station,"Jalan SS16/1, SS16  47500, Subang JayaSelangorMalaysia",LRT,3.079168,101.598234
SS15 LRT station,"Persiaran Jengka, SS15  47500, Subang Jaya, SelangorMalaysia",LRT,3.0766,101.586589
SS18 LRT station,"Persiaran Jengka, SS18  47500, Subang Jaya, SelangorMalaysia",LRT,3.06931,101.594653
USJ7 LRT station,"Persiaran Kewajipan  USJ7, UEP Subang Jaya  47610, Subang JayaSelangorMalaysia",LRT,3.055689,101.580523
Taipan LRT station,"Persiaran Kewajipan  USJ6 (Taipan), UEP Subang Jaya  47610, Subang Jaya, Selangor  Malaysia",LRT,3.055689,101.580523
