date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter
1/1/2019,,,,113357,114173,139634,35804,,,,,,
2/1/2019,,,,182715,169316,274224,31859,,,,,,
3/1/2019,,,,187904,175304,286469,31893,,,,,,
4/1/2019,,,,198420,187891,304755,34121,,,,,,
5/1/2019,,,,120773,112660,145036,29950,,,,,,
6/1/2019,,,,101145,95913,120032,25342,,,,,,
7/1/2019,,,,197569,184365,301290,31988,,,,,,
8/1/2019,,,,196879,185920,304680,31792,,,,,,
9/1/2019,,,,197314,188770,307069,32305,,,,,,
10/1/2019,,,,198876,189818,310510,32057,,,,,,
11/1/2019,,,,209859,204378,326471,33265,,,,,,
12/1/2019,,,,124608,123932,152720,30671,,,,,,
13/1/2019,,,,106718,108346,127805,27235,,,,,,
14/1/2019,,,,199162,192036,306455,32172,,,,,,
15/1/2019,,,,195405,189880,305742,31260,,,,,,
16/1/2019,,,,198901,194697,311279,31612,,,,,,
17/1/2019,,,,201926,194701,314277,31234,,,,,,
18/1/2019,,,,217270,212546,330484,35981,,,,,,
19/1/2019,,,,130758,127306,157194,30339,,,,,,
20/1/2019,,,,105012,110488,125599,27159,,,,,,
21/1/2019,,,,103443,106077,125094,23836,,,,,,
22/1/2019,,,,196298,189718,304452,31245,,,,,,
23/1/2019,,,,197309,193904,308968,31051,,,,,,
24/1/2019,,,,198692,193784,313285,32338,,,,,,
25/1/2019,,,,215764,210356,332682,36334,,,,,,
26/1/2019,,,,136301,133944,161765,33508,,,,,,
27/1/2019,,,,107763,114660,128906,27630,,,,,,
28/1/2019,,,,201365,193349,311540,32889,,,,,,
29/1/2019,,,,201416,197553,317389,33093,,,,,,
30/1/2019,,,,203261,200482,320084,33103,,,,,,
31/1/2019,,,,216817,209858,324593,35298,,,,,,
1/2/2019,,,,133281,134808,176585,24817,,,,,,
2/2/2019,,,,116729,110338,130286,27648,,,,,,
3/2/2019,,,,103011,97759,119030,27508,,,,,,
4/2/2019,,,,139596,124890,200211,32076,,,,,,
5/2/2019,,,,102683,98115,142522,33484,,,,,,
6/2/2019,,,,96384,91478,118858,27009,,,,,,
7/2/2019,,,,149863,142324,229122,31452,,,,,,
8/2/2019,,,,157270,149732,245190,31909,,,,,,
9/2/2019,,,,109346,104722,134543,27174,,,,,,
10/2/2019,,,,99421,94513,115661,22790,,,,,,
11/2/2019,,,,195601,187579,303415,31101,,,,,,
12/2/2019,,,,195645,191843,308682,31333,,,,,,
13/2/2019,,,,193979,190300,307471,31183,,,,,,
14/2/2019,,,,198331,199824,315114,33229,,,,,,
15/2/2019,,,,209305,205707,326085,35781,,,,,,
16/2/2019,,,,132846,130475,160601,30697,,,,,,
17/2/2019,,,,107138,104056,132422,25363,,,,,,
18/2/2019,,,,196753,196520,271155,35571,,,,,,
19/2/2019,,,,178768,157389,294107,32237,,,,,,
20/2/2019,,,,199157,196053,312133,32399,,,,,,
21/2/2019,,,,200226,197214,313732,31764,,,,,,
22/2/2019,,,,212795,209391,330890,35687,,,,,,
23/2/2019,,,,125301,122615,156854,29840,,,,,,
24/2/2019,,,,104184,104368,126762,25721,,,,,,
25/2/2019,,,,198840,191436,308389,32058,,,,,,
26/2/2019,,,,197991,192901,312558,31574,,,,,,
27/2/2019,,,,198505,195542,313176,32549,,,,,,
